id,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,calculated_host_listings_count
68396,2,1,1,1,1523,2,0,7,365,0,0,0,238,2,13
68398,2,1,1,1,914,1,0,30,365,0,0,11,286,6,13
74641,3,1,1,1,1523,1,244,2,365,18,42,56,56,40,4
74643,2,1,1,1,1279,1,244,1,365,22,52,82,82,44,4
178036,4,4,1,4,396,1,350,1,90,26,54,84,353,47,16
237684,6,2,3,3,3960,4,0,7,365,30,60,84,352,2,13
266837,6,2,3,4,3198,4,457,1,365,8,26,52,64,95,11
268604,3,1,1,1,1523,1,0,30,365,29,53,53,271,0,13
271733,2,1,2,2,1310,1,0,4,182,6,34,56,56,49,1
289296,4,1,2,2,2528,2,305,28,1125,30,60,90,365,21,2
289298,2,1,1,1,1706,2,305,1,1125,24,44,61,327,122,2
310542,6,5,1,6,305,1,300,30,360,30,60,90,180,14,6
333362,3,1,1,2,1310,1,213,365,565,30,60,90,365,79,1
357836,4,1,2,2,2742,4,0,2,1125,8,17,23,109,87,11
370312,3,1,1,2,2041,3,0,1,1125,28,58,88,264,6,7
375718,2,1,1,1,3080,1,0,2,365,0,0,0,0,6,11
375720,3,1,1,2,1218,2,305,3,365,7,33,62,89,68,11
419399,2,1,1,1,1980,1,305,30,1125,0,29,57,328,134,5
432223,3,1,1,2,2193,2,400,1,888,13,43,73,344,82,23
432237,3,1,1,2,2589,2,400,1,365,25,55,85,360,76,23
458195,2,1,1,1,1493,2,0,1,999,26,56,86,361,57,23
458196,2,1,1,1,1706,2,0,1,999,26,56,86,358,26,23
637720,1,3,1,1,792,1,0,1,1125,29,52,79,256,6,7
642738,1,1,1,1,1189,1,0,1,90,6,16,44,319,4,16
642746,12,4,1,12,335,1,310,1,1125,27,57,85,354,23,16
642748,10,4,1,10,335,1,330,1,1125,24,54,84,353,30,16
642752,10,4,1,10,335,1,320,1,90,30,60,90,359,56,16
646629,4,1,1,2,2589,2,305,2,1125,12,39,68,152,200,1
694446,2,1,1,1,853,2,152,4,62,16,26,28,28,147,2
697749,2,1,1,1,914,1,0,30,365,0,0,0,31,2,13
697760,2,1,1,1,914,1,0,30,365,0,0,0,60,1,13
697805,2,1,1,1,914,1,0,30,365,13,13,13,268,2,13
713379,3,1,1,3,2802,1,800,2,90,29,59,89,364,35,1
718493,5,1,2,3,1980,3,457,1,90,25,55,85,357,67,15
761561,2,1,0,1,2132,2,609,5,1125,18,34,34,257,17,1
775256,1,1,1,1,1220,1,0,2,365,0,0,0,0,1,5
775269,2,1,1,1,1586,2,0,2,365,0,0,0,0,2,5
775279,3,1,1,1,2257,2,0,2,365,0,0,0,0,1,5
775287,6,1,1,3,4514,4,0,2,365,0,0,0,0,1,5
775293,4,1,1,1,2989,4,0,2,365,0,0,0,0,5,5
777433,3,1,1,1,1371,1,305,3,365,4,27,57,147,111,2
786021,3,1,1,2,1706,3,300,1,90,23,53,83,357,4,6
786035,4,1,1,2,2010,4,0,1,90,23,53,83,356,3,6
786040,2,1,1,1,1188,2,300,1,90,23,53,83,357,18,6
828822,5,1,2,3,3016,2,609,2,1125,16,40,62,146,22,4
831240,2,0,1,2,1432,2,0,1,1125,26,44,70,157,2,7
837546,2,1,1,2,1645,2,0,2,365,30,60,90,365,3,14
837558,2,1,1,1,1462,2,396,2,365,30,60,90,365,1,14
837563,2,1,1,1,1401,2,0,2,365,13,43,72,343,3,14
840983,4,1,1,2,2315,2,305,2,365,30,60,90,365,4,14
846845,3,1,1,2,2285,2,609,2,1125,27,57,87,356,52,4
